fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
05/04/2020;León;LE;60-69;363;425;1.199.246.754;1.413.838.989;788
05/04/2020;Burgos;BU;70-79;208;167;1.278.819.551;9.719.473.868;375
05/04/2020;Salamanca;SA;70-79;260;261;1.734.836.859;1.487.772.901;521
05/04/2020;Castilla y León;CyL;70-79;1594;1412;1.460.509.437;1.151.543.819;3006
05/04/2020;Ávila;AV;80->80;147;196;2.480.593.993;2.173.189.932;343
05/04/2020;Salamanca;SA;80->80;288;363;2.316.788.673;1.818.455.065;651
05/04/2020;Soria;SO;80->80;92;142;2.520.547.945;2.497.801.231;234
05/04/2020;Valladolid;VA;80->80;219;315;1.597.374.179;1.352.686.048;534
05/04/2020;Zamora;ZA;80->80;46;40;5.877.843.087;3.226.326.827;86
06/04/2020;Ávila;AV;0-9;73;60;1.255.374.033;1.123.805.956;133
06/04/2020;Soria;SO;0-9;26;20;7.705.986.959;6.180.469.716;46
06/04/2020;Zamora;ZA;0-9;106;91;2.168.132.542;2.028.533.214;197
06/04/2020;Castilla y León;CyL;0-9;922;853;1.064.615.953;1.047.551.211;1775
06/04/2020;Ávila;AV;10-19;50;39;7.168.458.781;5.997.232.047;89
06/04/2020;Burgos;BU;10-19;90;84;5.563.454.287;5.488.761.108;174
06/04/2020;Segovia;SE;10-19;37;32;5.099.228.225;4.644.412.192;69
06/04/2020;Zamora;ZA;10-19;22;29;3.798.342.541;5.167.498.218;51
06/04/2020;Burgos;BU;20-29;175;258;1.092.657.343;1.721.262.259;433
06/04/2020;Salamanca;SA;20-29;183;287;1.122.699.387;1.657.426.657;470
06/04/2020;Segovia;SE;20-29;94;132;1.218.721.639;1.834.097.541;226
06/04/2020;Zamora;ZA;20-29;28;39;4.214.328.718;6.380.890.052;67
06/04/2020;León;LE;30-39;277;456;1.134.734.341;1.857.812.182;733
06/04/2020;Valladolid;VA;30-39;389;541;1.242.732.094;1.731.366.211;930
06/04/2020;Ávila;AV;40-49;222;325;2.031.664.684;3.034.547.152;547
06/04/2020;Palencia;PA;40-49;176;233;1.550.797.427;2.113.570.392;409
06/04/2020;Salamanca;SA;40-49;433;652;1.900.790.167;2.769.047.821;1085
06/04/2020;Soria;SO;40-49;142;190;2.097.798.789;3.057.119.871;332
06/04/2020;Zamora;ZA;40-49;77;117;6.991.102.234;1.078.639.255;194
06/04/2020;Ávila;AV;50-59;198;321;1.662.049.861;2.770.107.007;519
06/04/2020;Burgos;BU;50-59;436;610;1.561.716.455;2.283.703.343;1046
06/04/2020;León;LE;50-59;435;612;1.244.991.414;17.172.199;1047
06/04/2020;Palencia;PA;50-59;172;235;1.354.117.462;1.931.136.494;407
06/04/2020;Salamanca;SA;50-59;537;796;2.160.791.888;3.145.623.395;1333
06/04/2020;Zamora;ZA;50-59;86;129;6.681.687.515;1.035.063.789;215
06/04/2020;Burgos;BU;60-69;332;338;1.424.220.325;155.803.448;670
06/04/2020;Palencia;PA;60-69;140;150;120.058.314;1.386.065.422;290
06/04/2020;Segovia;SE;60-69;302;323;3.435.722.412;3.970.497.849;625
06/04/2020;Soria;SO;60-69;114;136;2.097.902.098;2.770.421.674;250
06/04/2020;Zamora;ZA;60-69;72;79;6.210.644.354;7.369.402.985;151
06/04/2020;Ávila;AV;70-79;134;131;1.891.586.674;1.722.777.486;265
06/04/2020;León;LE;70-79;331;282;15.846.419;1.138.244.198;613
06/04/2020;Salamanca;SA;70-79;272;269;1.814.906.252;1.533.375.135;541
06/04/2020;Soria;SO;70-79;66;45;1.639.344.262;1.108.920.651;111
06/04/2020;Valladolid;VA;70-79;304;294;126.862.246;1.071.975.498;598
06/04/2020;Zamora;ZA;70-79;46;44;5.219.562.011;4.448.938.322;90
06/04/2020;León;LE;80->80;347;407;2.006.592.263;1.375.883.168;754
06/04/2020;Palencia;PA;80->80;90;134;1.803.245.843;1.479.518.604;224
06/04/2020;Segovia;SE;80->80;269;329;5.605.334.445;4.110.958.391;598
06/04/2020;Soria;SO;80->80;97;147;2.657.534.247;2.585.751.979;244
06/04/2020;Zamora;ZA;80->80;50;46;6.388.959.877;3.710.275.851;96
07/04/2020;Burgos;BU;0-9;135;109;9.471.025.677;8.104.089.219;244
07/04/2020;León;LE;0-9;161;151;1.115.731.116;1.125.186.289;312
07/04/2020;Zamora;ZA;0-9;108;98;2.209.040.704;2.184.574.231;206
07/04/2020;Castilla y León;CyL;0-9;949;873;1.095.792.342;1.072.112.787;1822
07/04/2020;Burgos;BU;10-19;91;92;5.625.270.446;6.011.500.261;183
07/04/2020;Valladolid;VA;10-19;102;103;4.135.246.899;4.410.757.109;205
07/04/2020;Zamora;ZA;10-19;24;31;4.143.646.409;5.523.877.406;55
07/04/2020;Castilla y León;CyL;10-19;543;530;5.307.139.716;5.448.302.802;1073
07/04/2020;Ávila;AV;20-29;83;111;1.162.139.457;1.682.327.978;194
07/04/2020;Palencia;PA;20-29;82;87;1.194.464.676;1.330.885.727;169
07/04/2020;Salamanca;SA;20-29;192;293;117.791.411;1.692.076.692;485
07/04/2020;Valladolid;VA;20-29;216;290;8.993.255.059;1.233.937.537;506
07/04/2020;Zamora;ZA;20-29;29;43;4.364.840.458;7.035.340.314;72
07/04/2020;Salamanca;SA;30-39;349;542;1.924.031.093;2.913.665.197;891
07/04/2020;Segovia;SE;30-39;176;229;1.979.307.242;2.604.344.365;405
07/04/2020;Ávila;AV;40-49;232;330;2.123.181.111;3.081.232.493;562
07/04/2020;Burgos;BU;50-59;454;624;1.626.190.988;2.336.116.207;1078
07/04/2020;Palencia;PA;50-59;176;248;1.385.608.566;2.037.965.322;424
07/04/2020;Soria;SO;50-59;156;234;2.137.279.079;3.654.536.936;390
07/04/2020;Valladolid;VA;50-59;491;655;1.243.762.191;162.261.253;1146
07/04/2020;Zamora;ZA;50-59;91;134;7.070.157.719;107.518.254;225
07/04/2020;Castilla y León;CyL;50-59;2937;4179;1.599.141.897;2.293.708.904;7116
07/04/2020;Ávila;AV;60-69;208;239;2.061.242.692;2.645.268.401;447
07/04/2020;León;LE;60-69;395;454;1.304.965.476;1.510.312.708;849
07/04/2020;Salamanca;SA;60-69;444;495;2.213.470.263;24.224.332;939
07/04/2020;Ávila;AV;70-79;142;136;2.004.517.222;1.788.532.351;278
07/04/2020;Burgos;BU;70-79;214;183;1.315.708.577;1.065.068.095;397
07/04/2020;León;LE;70-79;336;289;1.608.579.088;1.166.498.486;625
07/04/2020;Valladolid;VA;70-79;306;298;127.696.866;1.086.560.198;604
07/04/2020;Zamora;ZA;70-79;47;44;533.303.075;4.448.938.322;91
07/04/2020;Castilla y León;CyL;70-79;1677;1527;1.536.558.549;1.245.331.028;3204
07/04/2020;León;LE;80->80;354;434;2.047.071.069;1.467.157.973;788
07/04/2020;Salamanca;SA;80->80;328;434;2.638.564.878;2.174.130.849;762
07/04/2020;Soria;SO;80->80;102;159;2.794.520.548;2.796.833.773;261
07/04/2020;Zamora;ZA;80->80;51;47;6.516.739.075;3.790.934.022;98
07/04/2020;Castilla y León;CyL;80->80;1898;2477;2.324.612.973;1.826.857.834;4375
08/04/2020;Palencia;PA;0-9;28;16;4.996.431.121;306.337.354;44
08/04/2020;Segovia;SE;0-9;72;59;12.137.559;1.050.195.799;131
08/04/2020;Valladolid;VA;0-9;184;174;8.713.358.905;8.682.201.487;358
08/04/2020;Ávila;AV;10-19;52;41;7.455.197.133;6.304.782.408;93
08/04/2020;León;LE;10-19;83;91;4.864.896.548;5.595.523.581;174
08/04/2020;Salamanca;SA;10-19;104;102;735.242.135;7.428.987.618;206
08/04/2020;Segovia;SE;10-19;38;32;5.237.045.204;4.644.412.192;70
08/04/2020;Palencia;PA;20-29;84;87;1.223.597.961;1.330.885.727;171
08/04/2020;Ávila;AV;30-39;157;223;1.890.427.453;2.726.494.682;380
08/04/2020;Segovia;SE;30-39;180;235;2.024.291.498;2.672.580.462;415
08/04/2020;Valladolid;VA;30-39;418;596;1.335.377.931;1.907.383.109;1014
08/04/2020;Salamanca;SA;40-49;452;696;1.984.196.664;2.955.916.079;1148
