fecha;provincia;Personas en centros residenciales;Mortalidad en residencias;Fallecidos con COVID19 confirmado;Fallecidos con síntomas compatibles;Confirmados con COVID19;Aislados con síntomas compatibles con COVID19;En aislamiento preventivo sin síntomas;codigo_ine
2020-04-28;Segovia;2383;482;172;203;566;98;530;40004
2020-04-28;Valladolid;6953;574;247;119;1076;163;578;47186
2020-04-29;Valladolid;6953;577;250;119;1081;152;565;47186
2020-04-30;Zamora;4377;207;50;61;168;63;497;49275
2020-05-01;Burgos;6480;424;144;101;782;58;791;9059
2020-05-01;León;7021;623;181;182;819;43;691;24089
2020-05-01;Palencia;4179;182;47;36;271;43;463;34120
2020-05-02;Segovia;2377;496;173;204;620;78;494;40004
2020-05-03;Soria;2179;276;102;88;578;42;577;42173
2020-05-04;Segovia;2370;499;174;204;670;66;448;40004
2020-05-04;Valladolid;6906;635;262;122;1078;138;620;47186
2020-05-05;Palencia;4170;189;49;36;281;31;421;34120
2020-05-07;Palencia;4171;196;50;36;289;26;314;34120
2020-05-07;Zamora;4340;228;55;63;193;47;304;49275
2020-05-08;Zamora;4337;230;56;63;202;38;315;49275
2020-05-09;Segovia;2372;507;176;204;779;29;336;40004
2020-05-10;León;6962;724;207;185;865;31;533;24089
2020-05-11;Palencia;4160;202;51;36;284;30;312;34120
2020-05-12;Palencia;4157;205;51;36;285;18;318;34120
2020-05-12;Salamanca;6296;750;252;206;1017;66;801;37274
2020-05-13;Ávila;3378;345;116;84;517;40;292;5019
2020-05-13;Salamanca;6301;750;252;206;988;66;584;37274
2020-05-14;Zamora;4318;252;57;63;270;26;162;49275
2020-05-15;Soria;2164;301;108;91;686;10;263;42173
2020-05-15;Valladolid;6872;698;275;124;1059;109;475;47186
2020-05-16;Burgos;6387;515;169;107;837;40;480;9059
2020-05-17;Ávila;3384;356;116;84;522;41;324;5019
2020-05-19;Segovia;2371;526;183;199;856;4;250;40004
2020-05-19;Soria;2168;304;108;91;688;8;184;42173
2020-05-20;León;6954;764;212;187;903;31;356;24089
2020-05-20;Soria;2169;304;108;91;691;2;207;42173
2020-05-21;León;6953;787;213;187;907;30;352;24089
2020-05-22;Soria;2165;306;108;92;692;2;201;42173
2020-05-23;Ávila;3455;363;119;85;549;23;250;5019
2020-05-24;Ávila;3451;368;119;85;549;23;250;5019
2020-05-24;Palencia;4132;222;52;36;313;2;65;34120
2020-05-24;Salamanca;6259;790;258;207;1070;37;409;37274
2020-05-25;Palencia;4126;225;53;36;313;2;63;34120
2020-05-25;Zamora;4201;273;59;63;326;10;87;49275
2020-05-26;Salamanca;6247;794;259;207;1075;37;380;37274
2020-05-26;Zamora;4203;275;59;63;327;11;86;49275
2020-05-27;Salamanca;6244;802;259;207;1082;31;372;37274
2020-05-27;Zamora;4202;278;59;63;327;13;84;49275
2020-05-28;León;6926;827;215;188;964;14;125;24089
2020-05-29;Salamanca;6268;809;259;207;1084;24;179;37274
2020-05-29;Soria;2158;308;109;92;729;0;62;42173
2020-06-01;Burgos;6345;551;171;109;996;7;55;9059
2020-06-03;Salamanca;6223;810;260;207;1089;16;179;37274
2020-06-03;Segovia;2352;544;190;197;869;5;18;40004
2020-06-03;Valladolid;6772;765;293;125;1140;16;350;47186
2020-06-04;Soria;2163;309;109;93;734;0;95;42173
2020-06-05;Burgos;6335;551;171;109;1009;4;94;9059
2020-06-05;Segovia;2358;544;190;197;866;0;18;40004
2020-06-09;Salamanca;6221;810;260;207;1095;6;114;37274
2020-06-09;Segovia;2364;544;190;197;869;1;12;40004
2020-06-10;Soria;2174;309;109;93;734;0;97;42173
2020-06-10;Valladolid;6780;765;295;125;1146;7;200;47186
2020-06-10;Zamora;4181;284;61;63;315;1;45;49275
2020-06-11;Ávila;3412;385;125;85;581;2;176;5019
2020-06-11;Burgos;6327;551;171;109;1030;6;93;9059
2020-06-11;Segovia;2366;544;190;197;869;1;15;40004
2020-06-11;Valladolid;6786;765;295;125;1154;4;157;47186
2020-06-11;Zamora;4184;284;61;63;313;1;30;49275
2020-06-12;Salamanca;6239;858;260;207;1093;9;72;37274
2020-06-15;Ávila;3409;411;125;85;579;4;181;5019
2020-06-15;Burgos;6341;589;171;109;1023;2;41;9059
2020-06-16;Ávila;3416;411;125;85;578;4;200;5019
2020-06-16;Segovia;2362;562;190;197;864;0;27;40004
2020-06-17;Ávila;3426;411;125;85;579;1;203;5019
2020-06-18;Ávila;3426;417;125;85;580;2;207;5019
2020-06-18;Burgos;6346;619;171;109;1021;0;32;9059
2020-06-18;León;6923;932;218;190;1056;3;53;24089
2020-06-18;Soria;2170;330;109;93;734;0;59;42173
2020-06-19;Ávila;3428;418;125;85;579;3;207;5019
2020-04-11;Palencia;4231;100;18;31;95;132;670;34120
2020-04-11;Segovia;2511;308;128;193;286;325;668;40004
2020-04-11;Soria;2283;138;62;71;181;221;751;42173
2020-04-12;Palencia;4236;101;19;31;127;115;669;34120
2020-04-12;Soria;2271;138;68;73;162;241;752;42173
2020-04-13;Salamanca;6585;289;128;164;380;455;1206;37274
2020-04-15;Burgos;6674;241;81;94;470;266;711;9059
2020-04-16;León;7222;432;127;179;565;177;428;24089
2020-04-17;Burgos;6620;283;93;98;563;211;791;9059
2020-04-17;León;7222;462;128;181;620;159;403;24089
2020-04-17;Salamanca;6526;390;153;188;475;418;1112;37274
2020-04-17;Soria;2245;199;77;85;310;125;818;42173
2020-04-17;Valladolid;7149;425;163;129;1051;112;589;47186
2020-04-18;Burgos;6609;294;94;98;610;179;820;9059
2020-04-18;Zamora;4436;112;35;55;172;78;578;49275
2020-04-19;Segovia;2434;437;156;200;382;179;617;40004
2020-04-20;Palencia;4216;142;36;36;241;92;578;34120
2020-04-21;Ávila;3529;260;91;75;435;101;339;5019
2020-04-21;Soria;2224;232;86;86;483;87;673;42173
2020-04-23;Segovia;2407;456;166;202;505;131;570;40004
2020-04-24;Zamora;4394;190;43;58;169;74;590;49275
2020-04-26;Palencia;4193;167;42;35;267;60;555;34120
2020-04-27;Salamanca;6366;567;203;205;703;212;938;37274
2020-04-28;Salamanca;6354;593;205;204;702;208;900;37274
2020-04-29;León;7027;604;180;181;813;52;670;24089
2020-04-29;Segovia;2383;482;172;204;578;73;526;40004
2020-04-30;Palencia;4181;180;46;36;270;43;459;34120
2020-05-01;Ávila;3476;309;106;81;486;76;312;5019
2020-05-01;Zamora;4369;210;50;62;166;64;499;49275
2020-05-02;Soria;2181;273;101;88;579;42;594;42173
2020-05-04;Soria;2178;276;102;89;577;42;577;42173
2020-05-05;Ávila;3466;325;109;82;489;75;320;5019
2020-05-05;Segovia;2362;499;174;204;717;58;446;40004
2020-05-06;Salamanca;6305;673;238;206;876;125;764;37274
2020-05-06;Valladolid;6897;650;265;122;1077;136;537;47186
2020-05-07;Salamanca;6307;676;239;207;962;121;775;37274
2020-05-08;Burgos;6441;484;163;104;807;49;514;9059
2020-05-08;Salamanca;6305;680;242;209;971;122;765;37274
2020-05-09;León;6964;706;206;185;866;33;535;24089
2020-05-09;Zamora;4336;231;56;63;211;31;332;49275
2020-05-10;Ávila;3388;337;112;83;500;62;291;5019
2020-05-11;León;6954;726;207;185;864;34;543;24089
2020-05-11;Salamanca;6302;722;249;207;1000;94;859;37274
2020-05-12;Valladolid;6876;686;271;124;1054;111;501;47186
2020-05-13;León;6945;737;209;185;850;29;487;24089
2020-05-13;Segovia;2373;517;182;198;805;22;335;40004
2020-05-14;Ávila;3381;352;116;84;522;43;297;5019
2020-05-14;Burgos;6386;511;168;107;825;41;468;9059
2020-05-16;Palencia;4163;207;51;36;312;9;275;34120
2020-05-17;Burgos;6386;515;169;107;869;42;431;9059
2020-05-18;Soria;2167;303;108;91;687;8;261;42173
2020-05-19;Ávila;3462;358;117;85;541;29;299;5019
2020-05-19;Burgos;6378;521;170;107;890;36;389;9059
2020-05-19;Zamora;4262;255;58;63;268;10;132;49275
2020-05-20;Ávila;3459;358;117;85;545;25;300;5019
2020-05-21;Burgos;6378;526;170;109;897;35;409;9059
2020-05-21;Salamanca;6276;781;256;207;1049;37;454;37274
2020-05-22;Zamora;4207;270;58;63;274;11;99;49275
2020-05-24;León;6939;811;215;188;948;24;316;24089
2020-05-24;Valladolid;6808;742;287;125;1071;14;396;47186
2020-05-25;Salamanca;6254;794;259;207;1068;36;415;37274
2020-05-26;Soria;2165;307;108;92;706;1;149;42173
2020-05-27;Valladolid;6803;757;289;125;1086;12;244;47186
2020-05-28;Ávila;3430;380;120;85;567;17;198;5019
2020-05-28;Palencia;4113;238;53;36;324;3;45;34120
2020-05-29;Segovia;2365;541;189;197;872;5;99;40004
2020-06-01;Ávila;3416;385;120;85;591;9;178;5019
2020-06-02;León;6907;840;216;188;1043;8;68;24089
2020-06-04;Ávila;3409;385;123;85;582;8;185;5019
2020-06-04;León;6911;840;217;189;1047;7;120;24089
2020-06-04;Palencia;4111;246;54;36;321;1;39;34120
2020-06-04;Segovia;2355;544;190;197;866;4;19;40004
2020-06-05;Valladolid;6762;765;294;125;1140;9;259;47186
2020-06-08;Palencia;4099;246;54;36;322;1;35;34120
2020-06-09;Ávila;3406;385;125;85;582;3;181;5019
2020-06-11;León;6903;840;218;189;1058;1;92;24089
2020-06-11;Salamanca;6234;810;260;207;1092;6;72;37274
2020-06-12;Ávila;3418;411;125;85;582;1;174;5019
2020-06-12;Burgos;6337;589;171;109;1027;4;95;9059
2020-06-15;León;6900;909;218;190;1055;8;85;24089
2020-06-15;Valladolid;6790;818;297;125;1153;4;161;47186
2020-06-17;Palencia;4119;262;55;36;323;0;37;34120
2020-06-17;Salamanca;6246;858;260;207;1089;6;61;37274
2020-06-18;Segovia;2381;572;190;197;874;0;74;40004
2020-06-19;León;6928;937;218;190;1058;3;54;24089
2020-06-19;Palencia;4093;275;55;36;312;2;35;34120
