fecha;provincia;Personas en centros residenciales;Mortalidad en residencias;Fallecidos con COVID19 confirmado;Fallecidos con síntomas compatibles;Confirmados con COVID19;Aislados con síntomas compatibles con COVID19;En aislamiento preventivo sin síntomas;codigo_ine
2020-06-17;Valladolid;6780;818;297;125;1165;1;226;47186
2020-06-18;Valladolid;6785;838;297;125;1166;6;224;47186
2020-06-18;Zamora;4193;309;61;63;311;1;30;49275
2020-06-19;Valladolid;6790;840;297;125;1172;5;169;47186
2020-06-19;Zamora;4192;309;61;63;309;1;30;49275
2020-04-09;Segovia;2550;292;112;165;269;366;667;40004
2020-04-10;Zamora;4397;71;10;38;47;139;309;49275
2020-04-11;Valladolid;7216;307;100;113;540;181;757;47186
2020-04-13;León;7308;358;95;171;423;242;457;24089
2020-04-14;Palencia;4234;110;25;32;174;82;633;34120
2020-04-14;Soria;2261;145;73;80;181;216;748;42173
2020-04-15;León;7308;378;122;184;475;209;434;24089
2020-04-15;Zamora;4368;91;25;52;143;81;307;49275
2020-04-16;Salamanca;6526;366;147;186;430;430;1118;37274
2020-04-19;Palencia;4216;142;36;36;241;92;578;34120
2020-04-19;Salamanca;6490;511;163;195;602;319;1093;37274
2020-04-20;Soria;2238;230;81;85;319;116;816;42173
2020-04-21;Salamanca;6466;515;169;198;604;325;1094;37274
2020-04-23;Palencia;4194;160;39;36;251;68;581;34120
2020-04-23;Valladolid;7037;533;218;124;1073;165;463;47186
2020-04-24;Salamanca;6394;548;193;199;686;250;1056;37274
2020-04-24;Valladolid;7013;540;224;120;1072;157;564;47186
2020-04-25;Valladolid;7001;548;234;122;1061;158;458;47186
2020-04-25;Zamora;4392;196;43;58;172;75;589;49275
2020-04-26;Segovia;2391;469;172;202;522;115;540;40004
2020-04-26;Valladolid;6982;563;240;121;1061;158;559;47186
2020-04-27;León;7050;587;164;180;746;85;719;24089
2020-04-29;Ávila;3473;303;104;80;477;90;319;5019
2020-04-30;Salamanca;6342;608;218;205;755;187;822;37274
2020-05-03;Ávila;3466;322;109;82;485;81;311;5019
2020-05-03;León;7002;669;189;184;825;37;676;24089
