fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
2020-04-06;Valladolid;VA;20-29;206;278;8.576900658;11.82878053;484
2020-04-06;Castilla y León;CyL;20-29;1040;1481;9.670640308;14.29509083;2521
2020-04-06;Burgos;BU;30-39;360;471;17.2670152;23.55353303;831
2020-04-06;Segovia;SE;30-39;173;221;19.45569051;25.13362902;394
2020-04-06;Castilla y León;CyL;30-39;1934;2793;14.32645654;21.03257677;4727
2020-04-06;Burgos;BU;40-49;477;644;16.7380167;23.81216491;1121
2020-04-06;León;LE;40-49;423;671;13.22536268;20.50357514;1094
2020-04-06;Segovia;SE;40-49;299;386;26.28109343;33.50985329;685
2020-04-06;Valladolid;VA;40-49;550;786;12.25462891;17.94151887;1336
2020-04-06;Castilla y León;CyL;40-49;2799;4004;15.58645499;22.56524704;6803
2020-04-06;Segovia;SE;50-59;351;496;30.02823167;42.94744134;847
2020-04-06;Valladolid;VA;50-59;470;624;11.90566659;15.45817128;1094
2020-04-06;Ávila;AV;60-69;203;232;20.11693588;25.6779192;435
2020-04-06;Salamanca;SA;60-69;433;488;21.58632035;23.88176568;921
2020-04-06;Valladolid;VA;60-69;358;443;11.49130128;13.16728094;801
2020-04-06;Castilla y León;CyL;60-69;2329;2635;15.28596369;17.6309609;4964
2020-04-06;Burgos;BU;70-79;209;177;12.84967722;10.30147829;386
2020-04-06;Palencia;PA;70-79;71;79;9.541728262;10.03174603;150
2020-04-06;Segovia;SE;70-79;212;162;37.36999824;25.85794094;374
2020-04-06;Castilla y León;CyL;70-79;1645;1483;15.07238409;12.09447226;3128
2020-04-06;Ávila;AV;>80;160;214;26.9996625;23.727686;374
2020-04-06;Burgos;BU;>80;244;279;22.1375431;15.0032265;523
2020-04-06;Salamanca;SA;>80;315;414;25.33987612;20.73940487;729
2020-04-06;Valladolid;VA;>80;255;377;18.59956236;16.18929016;632
2020-04-06;Castilla y León;CyL;>80;1827;2347;22.37654321;17.30979143;4174
2020-04-07;Ávila;AV;0-9;74;59;12.72570937;11.05075857;133
2020-04-07;Palencia;PA;0-9;26;15;4.639543183;2.871912694;41
2020-04-07;Segovia;SE;0-9;70;59;11.80040459;10.50195799;129
2020-04-07;Valladolid;VA;0-9;176;165;8.334517214;8.2331221;341
2020-04-07;León;LE;10-19;78;89;4.571830491;5.472545041;167
2020-04-07;Salamanca;SA;10-19;100;100;7.069635914;7.283321194;200
2020-04-07;Soria;SO;10-19;19;18;4.796768493;4.858299595;37
2020-04-07;Burgos;BU;20-29;184;265;11.48851149;17.67963173;449
2020-04-07;Soria;SO;20-29;46;65;10.44742221;15.81893405;111
2020-04-07;Castilla y León;CyL;20-29;1084;1533;10.07978278;14.79701164;2617
2020-04-07;Valladolid;VA;30-39;403;569;12.8745767;18.20974814;972
2020-04-07;Castilla y León;CyL;30-39;1983;2885;14.68943294;21.72537916;4868
2020-04-07;Burgos;BU;40-49;487;666;17.08891852;24.62562396;1153
2020-04-07;Palencia;PA;40-49;182;235;16.03665521;21.31712627;417
2020-04-07;Valladolid;VA;40-49;567;818;12.63340835;18.67196238;1385
2020-04-07;Ávila;AV;50-59;208;325;17.45991774;28.04625475;533
2020-04-07;Burgos;BU;60-69;338;355;14.49959247;16.36397161;693
2020-04-07;Palencia;PA;60-69;145;155;12.4346111;14.32267603;300
2020-04-07;Valladolid;VA;60-69;371;460;11.90858317;13.67257163;831
2020-04-07;Zamora;ZA;60-69;77;83;6.641939101;7.742537313;160
2020-04-07;Castilla y León;CyL;60-69;2402;2717;15.76508578;18.17962838;5119
2020-04-07;Segovia;SE;70-79;215;168;37.89881897;26.81564246;383
