año;periodo;orden_periodo;provincia;sigla;pacientes_total;tasa_pacientes_total;pacientes_residencias;tasa_pacientes_residencias
2017;trimestre;1;Zamora;ZA;797;4.768343464;202;43.51572598
2018;trimestre;1;Palencia;PA;589;3.775229622;228;44.54865182
2019;trimestre;1;Ávila;AV;590;3.928278948;191;44.50139795
2019;trimestre;1;Salamanca;SA;1184;3.64642041;342;42.97022239
2019;trimestre;1;Segovia;SE;497;3.398732143;190;58.62388152
2019;trimestre;1;Soria;SO;359;4.110043848;93;33.03730018
2020;trimestre;1;Ávila;AV;630;4.226741183;222;51.72413793
2020;trimestre;1;Salamanca;SA;1272;3.956749493;413;51.89094107
2020;trimestre;1;Zamora;ZA;691;4.352180184;180;38.77638949
2017;cuatrimestre;1;Palencia;PA;815;5.175851952;287;1.822661976
2017;cuatrimestre;1;Segovia;SE;678;4.63307799;245;1.674194849
2017;cuatrimestre;1;Zamora;ZA;986;5.899104963;257;1.537596324
2018;cuatrimestre;1;León;LE;2348;5.303937292;581;1.312430821
2018;cuatrimestre;1;Palencia;PA;794;5.089188999;303;1.942096054
2018;cuatrimestre;1;Salamanca;SA;1495;4.580199445;518;1.586985493
2018;cuatrimestre;1;Segovia;SE;678;4.642277592;274;1.876082685
2019;cuatrimestre;1;Ávila;AV;717;4.773857637;231;1.53802108
2019;cuatrimestre;1;Burgos;BU;1371;3.874983042;432;1.221001221
2019;cuatrimestre;1;Palencia;PA;812;5.239622386;279;1.800313603
2019;cuatrimestre;1;Valladolid;VA;1688;3.220120411;532;1.014872073
2019;cuatrimestre;1;Zamora;ZA;917;5.658852061;223;1.376143958
2020;cuatrimestre;1;Burgos;BU;1769;5.062820183;678;1.94041384
2020;cuatrimestre;1;Palencia;PA;930;6.050551381;330;2.146969845
2020;cuatrimestre;1;Valladolid;VA;2382;4.5749274;923;1.772736352
2017;5 meses;1;Ávila;AV;986;6.446424719;336;2.203148667
2018;5 meses;1;Zamora;ZA;1187;7.220238566;283;1.726178132
2019;5 meses;1;León;LE;2963;6.737658806;799;1.828396206
2020;5 meses;1;Ávila;AV;1201;8.057644699;487;3.272629528
2020;5 meses;1;Burgos;BU;2101;6.012993332;792;2.266976563
2020;5 meses;1;Salamanca;SA;2593;8.06592094;985;3.06267762
2020;5 meses;1;Segovia;SE;1427;9.774575145;661;4.525971269
