Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla
2020-04-17;Palencia;2346;144;1595;424;34120;3941;568;6.138107416879795;26.583072100313483;14.412585638162904;PA
2020-04-17;Salamanca;1031;226;7744;2595;37274;8775;2821;21.92046556741028;33.50981404958678;32.148148148148145;SA
2020-04-17;Segovia;614;127;5024;1845;40004;5638;1972;20.684039087947884;36.72372611464968;34.97694217807733;SE
2020-04-18;Burgos;6961;591;5538;1485;9059;12499;2076;8.490159459847725;26.81473456121343;16.609328746299703;BU
2020-04-18;León;8114;555;7952;1975;24089;16066;2530;6.840029578506285;24.83651911468813;15.747541391758993;LE
2020-04-19;Castilla y León;31161;2668;55496;15559;99999;86657;18227;8.561984531946985;28.03625486521551;21.033499890372386;CyL
2020-04-20;Soria;2853;480;2272;949;42173;5125;1429;16.824395373291274;41.7693661971831;27.882926829268296;SO
2020-04-20;Valladolid;4355;92;19651;4531;47186;24006;4623;2.1125143513203213;23.057350770953132;19.25768557860535;VA
2020-04-21;Burgos;8886;624;6133;1528;9059;15019;2152;7.022282241728561;24.914397521604435;14.328517211532061;BU
2020-04-22;León;11106;790;9387;2143;24089;20493;2933;7.113272105168377;22.829444977095985;14.312204167276633;LE
2020-04-22;Castilla y León;42954;3662;63313;16207;99999;106267;19869;8.525399264329282;25.598218375373143;18.69724373512003;CyL
2020-04-23;Salamanca;2155;469;9133;2714;37274;11288;3183;21.76334106728538;29.716413007774005;28.198086463501067;SA
2020-04-24;Palencia;4553;202;2049;472;34120;6602;674;4.436635185591918;23.035627135187898;10.209027567403817;PA
2020-04-25;Salamanca;2438;519;9833;2768;37274;12271;3287;21.287940935192783;28.150106783280787;26.786732947600033;SA
2020-04-26;Burgos;10079;652;7391;1670;9059;17470;2322;6.468895723782121;22.595048031389528;13.291356611333715;BU
2020-04-26;León;12318;855;11593;2301;24089;23911;3156;6.94106186069167;19.848184249115846;13.198946091756932;LE
2020-04-26;Palencia;4682;207;2459;542;34120;7141;749;4.4211875266979925;22.04148027653518;10.48872706903795;PA
2020-04-26;Zamora;1707;159;2694;342;49275;4401;501;9.314586994727591;12.694877505567929;11.38377641445126;ZA
2020-04-27;Palencia;4807;208;2660;559;34120;7467;767;4.327023091325151;21.01503759398496;10.271862863265033;PA
2020-04-28;León;13705;892;12327;2322;24089;26032;3214;6.508573513316309;18.836699926989535;12.346342962507682;LE
2020-04-28;Zamora;2304;214;3450;541;49275;5754;755;9.288194444444445;15.681159420289855;13.121306916927356;ZA
2020-04-28;Castilla y León;56518;4515;80640;17241;99999;137158;21756;7.988605400049542;21.380208333333332;15.86199857099112;CyL
2020-04-29;León;14569;916;12953;2352;24089;27522;3268;6.287322396870067;18.15795568594148;11.87413705399317;LE
2020-04-29;Salamanca;3965;623;10554;2730;37274;14519;3353;15.712484237074401;25.86696986924389;23.09387698877333;SA
2020-04-30;Ávila;6012;441;5141;1573;5019;11153;2014;7.335329341317365;30.59716008558646;18.05792163543441;AV
2020-05-01;León;15265;935;14104;2405;24089;29369;3340;6.125122830003275;17.05190017016449;11.372535666859614;LE
2020-05-01;Salamanca;5268;681;11066;2752;37274;16334;3433;12.927107061503417;24.868968010121094;21.017509489408596;SA
2020-03-13;Burgos;0;0;258;76;9059;258;76;;29.457364341085274;29.457364341085274;BU
2020-03-14;Ávila;0;0;25;8;5019;25;8;;32.0;32.0;AV
2020-03-15;Ávila;0;0;56;23;5019;56;23;;41.07142857142857;41.07142857142857;AV
2020-03-15;Castilla y León;0;0;1210;330;99999;1210;330;;27.27272727272727;27.27272727272727;CyL
2020-03-16;León;0;0;258;91;24089;258;91;;35.27131782945737;35.27131782945737;LE
2020-03-16;Palencia;0;0;5;0;34120;5;0;;0.0;0.0;PA
