FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;FASE DESESCALADA;x_geo;y_geo;zbs_geo;PROVINCIA;Posición;MUNICIPIO
2020-05-13;1702;Gerencia de Burgos;170227;C.S. SAN AGUSTIN;Fase 0;-3.6970311;42.3120645;SAN AGUSTIN;Burgos;42.3120645,-3.6970311;BURGOS
2020-05-13;1702;Gerencia de Burgos;170228;C.S. SANTA CLARA;Fase 0;-3.6638629;42.3283523;SANTA CLARA;Burgos;42.3283523,-3.6638629;BURGOS
2020-05-13;1702;Gerencia de Burgos;170229;C.S. SEDANO;Fase 1;-3.7494493;42.7559832;SEDANO;Burgos;42.7559832,-3.7494493;VALLE DE ZAMANZAS/ALTOS (LOS)/SARGENTES DE LA LORA/TUBILLA DEL AGUA/VALLE DE SEDANO
2020-05-13;1702;Gerencia de Burgos;170236;C.S. JOSE LUIS SANTAMARIA;Fase 0;-3.6625856;42.3778915;JOSE LUIS SANTAMARIA;Burgos;42.3778915,-3.6625856;BURGOS
2020-05-13;1703;Gerencia de León;170301;C.S. ARMUNIA;Fase 0;-5.6250478;42.4904947;ARMUNIA;León;42.4904947,-5.6250478;ARDON/CHOZAS DE ABAJO/LEON/SANTOVENIA DE LA VALDONCINA/ONZONILLA/VEGA DE INFANZONES
2020-05-13;1703;Gerencia de León;170302;C.S. ASTORGA I;Fase 0;-6.0592017;42.472513;ASTORGA I;León;42.472513,-6.0592017;ASTORGA/SAN JUSTO DE LA VEGA/VILLAOBISPO DE OTERO
2020-05-13;1703;Gerencia de León;170303;C.S. ASTORGA II;Fase 0;-6.1802328;42.4989784;ASTORGA II;León;42.4989784,-6.1802328;ASTORGA/BRAZUELO/MAGAZ DE CEPEDA/VAL DE SAN LORENZO/VILLAFRANCA DEL BIERZO/LUCILLO/LUYEGO/SANTA COLOMBA DE SOMOZA/SANTIAGO MILLAS/VILLAMEJIL/QUINTANA DEL CASTILLO/SOBRADO/VALDERREY/VILLAGATON
2020-05-13;1703;Gerencia de León;170307;C.S. CUENCA BERNESGA;Fase 0;-5.6824618;42.9003761;CUENCA BERNESGA;León;42.9003761,-5.6824618;POLA DE GORDON (LA)/VILLAMANIN/ROBLA (LA)
2020-05-13;1703;Gerencia de León;170308;C.S. LA BAÑEZA I;Fase 0;-5.9064216;42.2735381;LA BAÑEZA I;León;42.2735381,-5.9064216;BAÑEZA (LA)/SANTA ELENA DE JAMUZ/SOTO DE LA VEGA/SANTA MARIA DE LA ISLA
2020-05-13;1703;Gerencia de León;170310;C.S. TRUCHAS;Fase 1;-6.5124396;42.2812357;TRUCHAS;León;42.2812357,-6.5124396;ENCINEDO/CASTRILLO DE CABRERA/TRUCHAS
