G.Edad;Sexo;Porc;NCasos
g0-9;Hombre;0;0
g10-19;Hombre;0;0
g20-29;Hombre;0,2;1
g30-39;Hombre;0,9;6
g40-49;Hombre;0,9;6
g50-59;Hombre;3,5;23
g60-69;Hombre;12,3;81
g70-79;Hombre;33,5;220
g80-89;Hombre;37,2;244
g90 o más;Hombre;11,4;75
g0-9;Mujer;0;0
g10-19;Mujer;0,2;1
g20-29;Mujer;0;0
g30-39;Mujer;0,2;1
g40-49;Mujer;0,2;1
g50-59;Mujer;1,8;9
g60-69;Mujer;6,3;31
g70-79;Mujer;21,1;104
g80-89;Mujer;45,1;222
g90 o más;Mujer;25;123

